File ID,Data Split,Original English,English,Hindi,Korean
arctic_a0026,dev,It occurred to me that there would have to be an accounting.,it occurred to me that there would have to be an accounting.,इट अकर्ड टू मी दॅट धेर वुड हॅव टू बी अन अकाउंटिंग.,잇 어커드 투 미 댓 데어 우드 해브 투 비 안 어카운팅.
arctic_a0027,train,To my surprise he began to show actual enthusiasm in my favor.,to my surprise he began to show actual enthusiasm in my favor.,टू माई सरप्राइज ही बिगैन टू शो ऐक्चुअल एन्थुजियाज्म इन माई फेवर.,투 마이 서프라이즈 히 비갠 투 쇼 액추얼 엔수시아즘 인 마이 페이버.
arctic_a0028,train,"Robbery, bribery, fraud, ","robbery, bribery, fraud,","रॉबरी, ब्राइबरी, फ्रॉड,","로버리, 브라이버리, 프로드,"
arctic_a0029,test,Their forces were already moving into the north country.,their forces were already moving into the north country.,देर फोर्सेस वेर ऑलरेडी मूविंग इंटु द नॉर्थ कंट्री.,데어 포스 워 올레디 무빙 인투 더 노스 컨트리.
arctic_a0030,train,I had faith in them.,i had faith in them.,आई हैड फेथ इन देम.,아이 해드 페이스 인 뎀.
arctic_a0031,train,They were three hundred yards apart.,they were three hundred yards apart.,थे वर थ्री हन्ड्रेड यार्ड्स अपार्ट.,데이 워 쓰리 헌드레드 야즈 어파트.
arctic_a0032,train,Since then some mysterious force has been fighting us at every step.,since then some mysterious force has been fighting us at every step.,सिंस देन सम मिस्टीरियस फोर्स हैज बीन फाइटिंग अस ऐट एवरी स्टेप.,신스 덴 섬 미스테리어스 포스 해즈 빈 파이팅 어스 앳 에브리 스텝.
arctic_a0033,dev,"He unfolded a long typewritten letter, and handed it to Gregson.","he unfolded a long typewritten letter, and handed it to gregson.","ही अनफोल्डेड अ लॉंग टाइपरिटन लेटर, ऐंड हैंडेड इट टू ग्रेगसन.","히 언폴디드 아 롱 타이프리튼 레터, 앤드 핸디드 잇 투 그렉슨."
arctic_a0034,train,Men of Selden's stamp don't stop at women and children.,men of selden's stamp do not stop at women and children.,मेन अव सेल्डन स्टैम्प डू नाट स्टॉप ऐट विमिन ऐन्ड चिल्ड्रन.,멘 어브 셀든즈 스탬프 두 낫 스탑 앳 우먼 앤드 칠드런.
arctic_a0035,train,"He stopped, and Philip nodded at the horrified question in his eyes.","he stopped, and philip nodded at the horrified question in his eyes.","ही स्टॉप्ड, ऐंड फिलिप नॉडेड ऐट द हॉरिफाइड क्वेश्चन इन हिज आइज़.","히 스탑트, 앤드 필립 나디드 앳 더 호리파이드 퀘스천 인 히즈 아이즈."
arctic_a0036,train,She turned in at the hotel.,she turned in at the hotel.,शी टर्न्ड इन ऐट द होटल.,시 턴드 인 앳 더 호텔.
arctic_a0037,train,I was the only one who remained sitting.,i was the only one who remained sitting.,आई वज दि ओनली वन हू रिमेंड सिटिंग.,아이 워즈 디 온리 원 후 리메인드 시팅.
arctic_a0038,train,We'll have to watch our chances.,we will have to watch our chances.,वी विल हैव टू वॉच आवर चांसिस.,위 윌 해브 투 와치 아우어 챈시즈.
arctic_a0039,train,The ship should be in within a week or ten days.,the ship should be in within a week or ten days.,द शिप शुड बी इन विधिन अ वीक और टेन डेज.,더 쉽 슏 비 인 위딘 아 윅 오 텐 데이즈.
arctic_a0040,train,I suppose you wonder why she is coming up here.,i suppose you wonder why she is coming up here.,आई सपोज़ यू वंडर वाय शी इज़ कमिंग अप हियर.,아이 서포즈 유 원더 와이 쉬 이즈 커밍 업 히어.
arctic_a0041,train,Meanwhile I'll go out to breathe a spell.,meanwhile i will go out to breathe a spell.,मीनवाइल आई विल गो आउट टू ब्रीद अ स्पेल.,민와일 아이 윌 고 아웃 투 브리드 아 스펠.
arctic_a0042,dev,How could he explain his possession of the sketch.,how could he explain his possession of the sketch.,हाउ कुड ही एक्सप्लेन हिस पज़ेशन अव द स्केच.,하우 쿧 히 익스플레인 히즈 포세션 어브 더 스케치.
arctic_a0043,train,It seemed nearer to him since he had seen and talked with Gregson.,it seemed nearer to him since he had seen and talked with gregson.,इट सीम्ड नियर टू हिम सिंस ही हैड सीन एंड टॉक्ड विद ग्रेगसन.,잇 심드 니러 투 힘 신스 히 핫 신 앤드 톡트 위드 그렉슨.
arctic_a0044,train,Her own betrayal of herself was like tonic to Philip.,her own betrayal of herself was like tonic to philip.,हर ओन बिट्रेयल अव हर्सेल्फ वज़ लाइक टॉनिक टू फिलिप.,허 온 비트레이얼 어브 허셀프 워즈 라이크 토닉 투 필립.
arctic_a0045,train,He moved away as quietly as he had come.,he moved away as quietly as he had come.,ही मूव्ड अवे अज क्वाइटली अज ही हैड कम.,히 무브드 어웨이 애즈 콰이틀리 애즈 히 해드 컴.
arctic_a0046,train,"The girl faced him, her eyes shining with sudden fear.","the girl faced him, her eyes shining with sudden fear.","द गर्ल फेस्ड हिम, हर आइज़ शाइनिंग विद सडन फियर.","더 걸 페이스트 힘, 허 아이즈 샤이닝 위드 서든 피어."
arctic_a0047,train,Close beside him gleamed the white fangs of the wolf-dog.,close beside him gleamed the white fangs of the wolf-dog.,क्लोस बिसाइड हिम ग्लीम्ड द व्हाइट फैंग्स अव द वुल्फ-डॉग.,클로즈 비사이드 힘 글림드 더 화이트 팽즈 어브 더 울프도그.
arctic_a0048,train,"He looked at the handkerchief more, closely.","he looked at the handkerchief more, closely.","ही लुकट ऐट द हैंडकरचीफ मोर, क्लोसली.","히 룩트 앳 더 핸드커치프 모어, 클로슬리."
arctic_a0049,train,Gregson was asleep when he re-entered the cabin.,gregson was asleep when he re-entered the cabin.,ग्रेगसन वज़ अस्लीप वेन ही री-एंटर्ड द कैबिन.,그렉슨 워즈 어슬립 웬 히 리엔터드 더 캐빈.
arctic_a0050,train,In spite of their absurdity the words affected Philip curiously.,in spite of their absurdity the words affected philip curiously.,इन स्पाइट अव देर अबसर्डिटी द वर्ड्स अफेक्टेड फिलिप क्यूरियसली.,인 스파이트 어브 데어 앱설러티 더 워즈 어펙티드 필립 큐리어슬리.
arctic_a0051,train,"The lace was of a delicate ivory color, faintly tinted with yellow.","the lace was of a delicate ivory color, faintly tinted with yellow.","द लेस वज़ अव अ डेलिकेट आइवरी कलर, फेंटली टिन्टेड विथ येलो.","더 레이스 워즈 어브 아 델리컷 아이보리 컬러, 페인트리 틴티드 위드 옐로우."
arctic_a0052,train,It was a curious coincidence.,it was a curious coincidence.,इट वस अ क्यूरियस कोइंसिडेंस.,잇 워즈 아 큐리어스 코인시던스.
arctic_a0053,train,Suddenly his fingers closed tightly over the handkerchief.,suddenly his fingers closed tightly over the handkerchief.,सडनली हिस फिंगर्स क्लोज़्ड टाइटली ओवर द हैंडकरचीफ.,서든리 히즈 핑거즈 클로즈드 타이틀리 오버 더 핸드커치프.
arctic_a0054,train,There was nothing on the rock.,there was nothing on the rock.,देर वस नथिंग ऑन द रॉक.,데어 와즈 너씽 온 더 락.
arctic_a0055,train,"Philip stood undecided, his ears strained to catch the slightest sound.","philip stood undecided, his ears strained to catch the slightest sound.","फिलिप स्टुड अनडिसाइडेड, हिज़ इयर्स स्ट्रेन्ड टू कैच द स्लाइटेस्ट साउंड.","필립 스투드 언디사이디드, 히즈 이어즈 스트레인드 투 캐치 더 슬라이티스트 사운드."
arctic_a0056,train,Pearce's little eyes were fixed on him shrewdly.,pearce's little eyes were fixed on him shrewdly.,पिर्सिज लिटल आइज़ वर फिक्स्ट ऑन हिम श्रूडली.,피어시즈 리틀 아이즈 워 픽스트 온 힘 슈루들리.
arctic_a0057,train,"I have no idea, replied Philip.","i have no idea, replied philip.","आई हैव नो आइडिया, रिप्लाइड फिलिप.","아이 해브 노 아이디어, 리플라이드 필립."
arctic_a0058,test,I came for information more out of curiosity than anything else.,i came for information more out of curiosity than anything else.,आई केम फॉर इन्फ़ार्मेशन मोर आउट अव क्यूरिओसिटी धान एनीथिंग एल्स.,아이 케임 포 인포메이션 모어 아웃 어브 큐리어시티 댄 애니씽 엘스.
arctic_a0059,train,His immaculate appearance was gone.,his immaculate appearance was gone.,हिस इमैक्युलेट अपिरेंस वज़ गॉन.,히즈 이매큘럿 어피어런스 워즈 곤.
arctic_a0060,train,"Anyway, no one saw her like that.","anyway, no one saw her like that.","ऐनिवे, नो वन सॉ हर लाइक दैट.","에니웨이, 노 원 소 허 라이크 댓."
arctic_a0061,train,Philip snatched at the letter which Gregson held out to him.,philip snatched at the letter which gregson held out to him.,फिलिप स्नैचट ऐट द लेटर विच ग्रेगसन हेल्ड आउट टू हिम.,필립 스내치드 앳 더 레터 위치 그렉슨 헬드 아웃 투 힘.
arctic_a0062,train,The men stared into each other's face.,the men stared into each other's face.,द मेन स्टेर्ड इंटू ईच अदर्स फेस.,더 멘 스테어드 인투 이치 어더즈 페이스.
arctic_a0063,train,"Yes, it was a man who asked, a stranger.","yes, it was a man who asked, a stranger.","येस, इट वस अ मैन हू आस्क्ट, अ स्ट्रेंजर.","예스, 잇 워즈 아 맨 후 애스크트, 아 스트레인저."
arctic_a0064,train,The fourth and fifth days passed without any developments.,the fourth and fifth days passed without any developments.,द फोर्थ एंड फिफ्थ डेज़ पास्त विदाउट एनी डेवेलपमेंट्स.,더 포스 앤드 피프스 데이즈 패스트 위다웃 에니 디벨롭먼츠.
arctic_a0065,train,They closed now until his fingers were like cords of steel.,they closed now until his fingers were like cords of steel.,दे क्लोज्ड नाउ अंतिल हिज फिंगर्स वर लाइक कॉर्ड्स अव स्टील.,데이 클로즈드 나우 언틸 히즈 핑거즈 워 라이크 코르즈 오브 스틸.
arctic_a0066,train,He saw Jeanne falter for a moment.,he saw jeanne falter for a moment.,ही सॉ जीन फाल्टर फॉर अ मोमेंट.,히 쏘 진 팔터 포 아 모먼트.
arctic_a0067,train,"Surely I will excuse you, she cried.","surely i will excuse you, she cried.","शुरली आई विल एक्सक्यूस यू, शी क्राइड.","슈얼리 아이 윌 엑스큐즈 유, 쉬 크라이드."
arctic_a0068,dev,In a flash Philip followed its direction.,in a flash philip followed its direction.,इन अ फ्लैश फिलिप फॉलोड इट्स डिरेक्शन.,인 아 플래시 필립 팔로우드 잇츠 디렉션.
arctic_a0069,train,It was his intention to return to Eileen and her father.,it was his intention to return to eileen and her father.,इट वज़ हिज़ इंटेंशन टू रिटर्न टू आइलीन ऐंड हर फादर.,잇 와즈 히즈 인텐션 투 리턴 투 아일린 앤드 허 파더.
arctic_a0070,train,He would first hunt up Gregson and begin his work there.,he would first hunt up gregson and begin his work there.,ही वुड फर्स्ट हंट अप ग्रेगसन ऐंड बिगिन हिस वर्क देर.,히 우드 퍼스트 헌트 업 그렉슨 앤드 비긴 히즈 워크 데어.
arctic_a0071,train,What was the object of your little sensation.,what was the object of your little sensation.,व्हट वस दि ऑब्जेक्ट अव योर लिटल सेंसेशन.,왓 워즈 디 옵젝트 오브 유어 리틀 센세이션.
arctic_a0072,train,But who was Eileen's double.,but who was eileen's double.,बट हू वज आइलीन्स डबल.,벗 후 워즈 아일린즈 더블.
arctic_a0073,test,"The promoter's eyes were heavy, with little puffy bags under them.","the promoter's eyes were heavy, with little puffy bags under them.","द प्रमोटर्स आइज़ वेर हेवी, विथ लिटल पफी बैग्स अंडर देम.","더 프로모터즈 아이즈 워 헤비, 위드 리틀 퍼피 백스 언더 뎀."
arctic_a0074,train,"And now, down there, Eileen was waiting for him.","and now, down there, eileen was waiting for him.","एंड नाउ, डाउन देयर, आइलीन वस वेटिंग फॉर हिम.","앤드 나우, 다운 데어, 아일린 워즈 웨이팅 포어 힘."
arctic_a0075,train,"There has been a change, she interrupted him.","there has been a change, she interrupted him.","धेर हैज़ बीन अ चेंज, शी इंटर्रप्टेड हिम.","데어 해즈 빈 아 체인지, 쉬 인터럽티드 힘."
arctic_a0076,train,The gray eyes faltered; the flush deepened.,the gray eyes faltered the flush deepened.,द ग्रे आइज़ फाल्टर्ड द फ्लश डीपेंड.,더 그레이 아이즈 폴터드 더 플러쉬 디펀드.
arctic_a0077,train,"It is the fire, partly, she said.","it is the fire, partly, she said.","इट इज़ द फायर, पार्टली, शी सैड.","잇 이즈 더 파이어, 파트리, 쉬 셋."
arctic_a0078,train,"Then, and at supper, he tried to fathom her.","then, and at supper, he tried to fathom her.","धेन, एंड ऐट सपर, ही ट्राइड टू फैदम हर.","덴, 앤드 앳 서퍼, 히 트라이드 투 패덤 허."
arctic_a0079,train,It was a large canoe.,it was a large canoe.,इट वज़ अ लार्ज कनू.,잇 워즈 아 라지 카누.
arctic_a0080,train,What if Jeanne failed him.,what if jeanne failed him.,वट इफ जीन फेल्ड हिम.,왓 이프 진 페일드 힘.
arctic_a0081,train,What if she did not come to the rock.,what if she did not come to the rock.,व्हट इफ शी डिड नॉट कम टू द रॉक.,왓 이프 시 딛 낫 컴 투 더 록.
arctic_a0082,train,His face was streaming with blood.,his face was streaming with blood.,हिज़ फेस वज़ स्ट्रीमिंग विद ब्लड.,히즈 페이스 워즈 스트리밍 위드 블러드.
arctic_a0083,train,A shadow was creeping over Pierre's eyes.,a shadow was creeping over pierre's eyes.,अ शैडो वज़ क्रीपिंग ओवर पियरेज़ आइज़.,아 샤도우 워즈 크리핑 오버 피어레스 아이즈.
arctic_a0084,train,Scarcely had he uttered the name when Pierre's closing eyes shot open.,scarcely had he uttered the name when pierre's closing eyes shot open.,स्कार्सली हैड ही अटर्ड द नेम वेन पिराज़ क्लोसिंग आइज़ शॉट ओपन.,스케얼슬리 해드 히 어터드 더 네임 웬 피에레즈 클로징 아이즈 샷 오픈.
arctic_a0085,test,A trickle of fresh blood ran over his face.,a trickle of fresh blood ran over his face.,अ ट्रिकल अव फ्रेश ब्लड रैन ओवर हिस फेस.,아 트리클 어브 프레쉬 블러드 랜 오버 히즈 페이스.
arctic_a0086,train,Death had come with terrible suddenness.,death had come with terrible suddenness.,डेथ हैड कम विथ टेरिबल सडनेस.,데스 해드 컴 위드 테러블 서든니스.
arctic_a0087,dev,"Philip bent lower, and stared into the face of the dead man.","philip bent lower, and stared into the face of the dead man.","फिलिप बेंट लोअर, एंड स्टेर्ड इंटू द फेस अव द डेड मैन.","필립 벤트 로어, 앤드 스테어드 인투 더 페이스 오브 더 데드 맨."
arctic_a0088,test,"He made sure that the magazine was loaded, and resumed his paddling.","he made sure that the magazine was loaded, and resumed his paddling.","ही मेड शुर दॅट द मैगज़ीन वज़ लोडेड, ऐंड रिस्यूम्ड हिज़ पैडलिंग.","히 메이드 슈어 댓 더 매거진 워즈 로디드, 앤드 리줌드 히즈 패들링."
arctic_a0089,train,The nightglow was treacherous to shoot by.,the nightglow was treacherous to shoot by.,द नाइटग्लो वज़ ट्रेचरस टू शूट बाय.,더 나잇글로우 워즈 트레처러스 투 슛 바이.
arctic_a0090,train,The singing voice approached rapidly.,the singing voice approached rapidly.,द सिंगिंग वॉइस अप्रोच्ड रैपिडली.,더 싱잉 보이스 어프로치트 래피들리.
arctic_a0091,train,His blood grew hot with rage at the thought.,his blood grew hot with rage at the thought.,हिज़ ब्लड ग्रू हॉट विद रेज ऐट द थॉट.,히즈 블러드 그루 핫 위드 레이지 앳 더 쏫.
arctic_a0092,test,"He went down in midstream, searching the shadows of both shores.","he went down in midstream, searching the shadows of both shores.","ही वेंट डाउन इन मिडस्ट्रीम, सर्चिंग द शैडोज़ अव बोथ शोर्स.","히 웬트 다운 인 미드스트림, 서칭 더 섀도우즈 오브 보스 쇼어즈."
arctic_a0093,train,For a full minute he crouched and listened.,for a full minute he crouched and listened.,फॉर अ फुल मिनिट ही क्राउच्ड एंड लिसन्ड.,포어 아 풀 미닛 히 크라우치트 앤드 리슨드.
arctic_a0094,train,He had barely entered this when he saw the glow of a fire.,he had barely entered this when he saw the glow of a fire.,ही हैड बेरली एन्टर्ड दिस वेन ही सॉ द ग्लो ऑफ अ फायर.,히 핻 베얼리 엔터드 디스 웬 히 소 더 글로 어브 아 파이어.
arctic_a0095,dev,A big canvas tent was the first thing to come within his vision.,a big canvas tent was the first thing to come within his vision.,अ बिग कैनवस टेंट वज द फर्स्ट थिंग टू कम विथिन हिस विजन.,아 빅 캔버스 텐트 워즈 더 퍼스트 씽 투 컴 위딘 히즈 비전.
arctic_a0096,train,Perhaps she had already met her fate a little deeper in the forest.,perhaps she had already met her fate a little deeper in the forest.,परहैप्स शी हैड ऑलरेडी मेट हर फेट अ लिटल डीपर इन द फॉरेस्ट.,퍼헵스 쉬 핻 올레디 메트 허 페이트 아 리틀 디퍼 인 더 포레스트.
arctic_a0097,train,Then you can arrange yourself comfortably among these robes in the bow.,then you can arrange yourself comfortably among these robes in the bow.,देन यू कैन अरेंज योरसेल्फ कम्फटेबली अमंग दीज़ रोब्स इन द बो.,덴 유 캔 어레인지 유어셀프 컴포터블리 어몽 디즈 로브스 인 더 보우.
arctic_a0098,train,Shall I carry you.,shall i carry you.,शैल आई कैरी यू.,샬 아이 캐리 유.
arctic_a0099,test,A maddening joy pounded in his brain.,a maddening joy pounded in his brain.,अ मैडनिंग जॉय पाउंडेड इन हिस ब्रेन.,아 매드닝 조이 파운디드 인 히즈 브레인.
arctic_a0100,test,"You must sleep, he urged.","you must sleep, he urged.","यू मस्ट स्लीप, ही अर्ज्ड.","유 머스트 슬립, 히 얼지드."
arctic_a0101,train,"You, you would not keep the truth from me.","you, you would not keep the truth from me.","यू, यू वुड नॉट कीप द ट्रुथ फ्रॉम मी.","유, 유 우드 낫 킵 더 트룻 프롬 미."
arctic_a0102,train,He will follow us soon.,he will follow us soon.,ही विल फॉलो अस सून.,히 윌 팔로우 어스 순.
arctic_a0103,train,But there came no promise from the bow of the canoe.,but there came no promise from the bow of the canoe.,बट देर केम नो प्रामिस फ्रॉम द बो अव द कनू.,버트 데어 케임 노 프로미스 프럼 더 보우 오브 더 카누.
arctic_a0104,train,She was sleeping under his protection as sweetly as a child.,she was sleeping under his protection as sweetly as a child.,शी वज़ स्लीपिंग अंडर हिज़ प्रोटेक्शन ऐस स्वीटली ऐस अ चाइल्ड.,쉬 워즈 슬리핑 언더 히즈 프로텍션 애즈 스위틀리 애즈 아 차일드.
arctic_a0105,train,"Only, it is so wonderful, so almost impossible to believe.","only, it is so wonderful, so almost impossible to believe.","ओनली, इट इज सो वंडरफुल, सो ऑलमोस्ट इम्पॉसिबल टू बिलीव.","온리, 잇 이즈 소 원더풀, 소 올모스트 임퍼서블 투 빌리브."
arctic_a0106,train,The emotion which she had suppressed burst forth now in a choking sob.,the emotion which she had suppressed burst forth now in a choking sob.,दि इमोशन विच शी हैड सप्रेस्ट बर्स्ट फोर्थ नाउ इन अ चोकिंग सॉब.,디 이모션 위치 쉬 햇 서프레스트 버스트 포스 나우 인 아 쵸킹 섭.
arctic_a0107,train,If you only could know how I thank you.,if you only could know how i thank you.,इफ यू ओनली कुड नो हाउ आई थैंक यू.,이프 유 온리 쿠드 노우 하우 아이 땡크 유.
arctic_a0108,train,He waded into the edge of the water and began scrubbing himself.,he waded into the edge of the water and began scrubbing himself.,ही वेडिड इंटू दि एज अव द वॉटर ऐंड बिगैन स्क्रबिंग हिमसेल्फ.,히 웨이드 인투 디 에지 어브 더 워터 앤드 비갠 스크러빙 힘셀프.
arctic_a0109,train,Do you know that you are shaking my confidence in you.,do you know that you are shaking my confidence in you.,डू यू नो दैट यू आर शेकिंग माई कॉन्फिडेंस इन यू.,두 유 노우 댓 유 아르 쉐이킹 마이 컨피던스 인 유.
arctic_a0110,train,"Much, replied Jeanne, as tersely.","much, replied jeanne, as tersely.","मच, रिप्लाइड जीन, ऐज टर्सली.","머치, 리플라이드 진, 애즈 터슬리."
arctic_a0111,dev,"Instead, he joined her; and they ate like two hungry children.","instead, he joined her and they ate like two hungry children.","इंस्टेड, ही जॉइंड हर ऐंड थे एट लाइक टू हंग्री चिल्ड्रन.","인스테드, 히 조인드 허 앤드 데이 에이트 라이크 투 헝그리 칠드런."
arctic_a0112,dev,He was wounded in the arm.,he was wounded in the arm.,ही वज़ वुंडेड इन दि आर्म.,히 워즈 우운디드 인 디 암.
arctic_a0113,train,I suppose you picked that lingo up among the Indians.,i suppose you picked that lingo up among the indians.,आई सपोज़ यू पिक्ट दैट लिंगो अप अमंग दि इंडियन्स.,아이 서포스 유 피큿 댓 린고 업 어몽 디 인디언즈.
arctic_a0114,train,Her words sent a strange chill through Philip.,her words sent a strange chill through philip.,हर वर्ड्स सेंट अ स्ट्रेंज चिल थ्रू फिलिप.,허 워즈 센트 아 스트레인지 칠 스루 필립.
arctic_a0115,train,He had no excuse for the feelings which were aroused in him.,he had no excuse for the feelings which were aroused in him.,ही हैड नो एक्सक्यूस फॉर द फीलिंग्स विच वर अराउज़्ड इन हिम.,히 햇 노 익스큐즈 포 더 필링즈 위치 워 어라우즈드 인 힘.
arctic_a0116,test,Was it the rendezvous of those who were striving to work his ruin.,was it the rendezvous of those who were striving to work his ruin.,वस इट द रांदेवू अव धोज़ हू वर स्ट्राइविंग टू वर्क हिज रुइन.,워즈 잇 더 랑데뷔 어브 도즈 후 워 스트라이빙 투 워크 히즈 루인.
arctic_a0117,train,"She added, with genuine sympathy in her face and voice.","she added, with genuine sympathy in her face and voice.","शी ऐडेड, विथ जेन्यूइन सिम्पथी इन हर फेस ऐंड वॉइस.","시 에디드, 위드 지뉴인 심퍼씨 인 허 페이스 앤드 보이스."
