File ID,Data Split,Original English,English,Hindi
p226_135,train,I do not think this family will ever get over this.,i do not think this family will ever get over this.,आई दू नॉट थिंक दिस फैमिली विल एवर गेट ओवर दिस.
p226_138,train,The whole thing of doing the movie was a risk.,the whole thing of doing the movie was a risk.,द होल थिंग अव डूइंग द मूवी वाज अ रिस्क.
p226_151,train,We have seen a copy of the report.,we have seen a copy of the report.,वी हैव सीन अ कॉपी अव द रिपोर्ट.
p226_153,train,That group reported just before Christmas.,that group reported just before christmas.,थैट ग्रूप रिपोर्टेड जस्ट बिफोर क्रिसमस.
p226_154,train,Initial reports said the aircraft had experienced a loss of power.,initial reports said the aircraft had experienced a loss of power.,इनिशल रिपोर्ट्स सेड दि एयरक्राफ्ट हैड एक्सपीरियन्स्ट अ लॉस अव पावर.
p226_163,train,I've learned from my mistakes.,i have learned from my mistakes.,आई हैव लर्न्ड फ्रॉम माई मिस्टेक्स.
p226_185,train,It is not fair.,it is not fair.,इट इज नॉट फेयर.
p226_188,train,Any change would be subject to the Scottish Parliament's approval.,any change would be subject to the scottish parliament's approval.,ऐनी चेंज वुड बी सबजेक्ट टू द स्कॉटिश पार्लिमेंट्स अप्रूवल.
p226_190,train,"Suddenly, the rugby world had changed.","suddenly, the rugby world had changed.","सड़क, द रगड़ी वर्ल्ड हैड चेंज्ड."
p226_197,train,There was no option.,there was no option.,देयर वज नो ऑप्शन.
p226_210,train,It's like a garage.,it's like a garage.,इट्स लाइक अ गरेज.
p226_215,train,I am delighted for Simon.,i am delighted for simon.,आई ऐम डिलाइटिड फॉर साइमन.
p226_217,train,It's not ideal.,it's not ideal.,इट्स नॉट आइडियल.
p226_219,train,I might come back.,i might come back.,आई माइट कम बैक.
p226_220,train,"For the refugees, the return will not come a moment too soon.","for the refugees, the return will not come a moment too soon.","फॉर द रिफ्यूजीज़, द रिटर्न विल नॉट कम अ मोमेंट टू सून."
p226_231,train,The track is currently covered in snow.,the track is currently covered in snow.,द ट्रैक इस करेंटली कवर्ड इन स्नो.
p226_234,train,Stewart will travel with some confidence.,stewart will travel with some confidence.,स्ट्यूअर्ट विल ट्रैवल विथ सम कॉन्फिडेंस.
p226_240,train,She is well balanced.,she is well balanced.,शी इज़ वेल बैलेंस्ड.
p226_241,train,They are all bright and different.,they are all bright and different.,थे आर आल ब्राइट एंड डिफरेंट.
p226_258,train,That's what made the difference and set the pattern of the match.,that's what made the difference and set the pattern of the match.,ठैट्स व्हट मेड द डिफ्रेंस ऐंड सेट द पैटर्न अव द मैच.
p226_261,train,He has already suffered a good deal of unwanted attention.,he has already suffered a good deal of unwanted attention.,ही हैज़ ऑलरेडी सफर्ड अ गुड डील अव अनवांटेड अटेंशन.
p226_269,train,They are never here.,they are never here.,दे आर नेवर हीर.
p226_278,train,I feel pretty good.,i feel pretty good.,आई फील प्रिटी गुड.
p226_321,train,My body is clearly capable.,my body is clearly capable.,माई बॉडी इज़ क्लियर्ली केपेबल.
p226_327,train,We do the same.,we do the same.,वी दू द सेम.
p226_328,train,That's the law of the land.,that's the law of the land.,थैट्स द लॉ अव द लैंड.
p226_336,train,It is a time bomb.,it is a time bomb.,इट इस अ टाइम बाम.
p226_342,train,Three years ago he would have been.,three years ago he would have been.,थ्री यिअर्स अगो ही वुड हैव बीन.
p226_367,train,Equity declined to comment.,equity declined to comment.,एक्विटी डिक्लाइंड टू कॉमेंट.
p226_369,train,He took over our lives.,he took over our lives.,ही टूक ओवर और लाइव्स.
p227_017,train,Others have tried to explain the phenomenon physically.,others have tried to explain the phenomenon physically.,अदर्स हैव ट्राइड टू एक्सप्लेन द फिनोमेनन फिजिकली.
p227_036,train,Iain Duncan Smith is a decent man.,iain duncan smith is a decent man.,आईएन डंकन स्मिथ इस अ डीसेंट मैन.
p227_040,dev,"Yesterday, he was busy in his office.","yesterday, he was busy in his office.","येस्टर्डे, ही वस बिज़ी इन हिज़ आफिस."
p227_070,train,Then followed a bout of flu.,then followed a bout of flu.,धेन फालोड अ बाउट अव फ्लू.
p227_092,train,"For once, you should believe the hype.","for once, you should believe the hype.","फॉर वन्स, यू शुद बिलीव द हाइप."
p227_112,train,It has removed a bit of guilt.,it has removed a bit of guilt.,इट हैज रिमूव्ड अ बिट अव गिल्ट.
p227_113,train,"However, we have to be cautious.","however, we have to be cautious.","हाउएवर, वी हैव टू बी कॉशस."
p227_116,train,It is just a tax on employment.,it is just a tax on employment.,इट इस जस्ट अ टैक्स ऑन एम्प्लॉयमेंट.
p227_137,train,Our position is quite simple.,our position is quite simple.,आउर पोज़िशन इस क्वाइट सिम्पल.
p227_144,train,"It will include the Black Watch, the Royal Highland regiment.","it will include the black watch, the royal highland regiment.","इट विल इंक्लूड द ब्लैक वॉच, द रॉयल हाईलैंड रेजिमेंट."
p227_149,train,That was the difference between the sides.,that was the difference between the sides.,थैट वस द डिफ़्रेंस बीटवीन द साइड्स.
p227_150,train,"Charles Gordon, leader of Glasgow City Council declined to comment.","charles gordon, leader of glasgow city council declined to comment.","चार्ल्स गोर्डन, लीडर अफ ग्लैस्गो सिटी कौंसिल डिक्लाइंड टू कॉमेंट."
p227_155,train,It was a funny feeling.,it was a funny feeling.,इट वाज़ अ फनी फीलिंग.
p227_157,train,Adams is surely worth a chance.,adams is surely worth a chance.,एडम्स इस शुरली वर्थ अ चांस.
p227_191,train,You know the sort of thing.,you know the sort of thing.,यू नो द सॉर्ट अव थिंग.
p227_193,train,It was only later that the condition was diagnosed.,it was only later that the condition was diagnosed.,इट वस ओनली लेटर धैट द कंडीशन वस डायग्नोज़ड.
p227_209,train,The sanctions are about collective punishment.,the sanctions are about collective punishment.,द सैंक्शन्स आर अबाउट कलेक्टिव पनिश्मेंट.
p227_216,train,You have caught a serial killer.,you have caught a serial killer.,यू हैव कॉट अ सीरियल किलर.
p227_217,train,It seemed a moving and fitting tribute.,it seemed a moving and fitting tribute.,इट सीम्ड अ मूविंग ऐंड फिटिंग ट्रिब्यूट.
p227_222,dev,They have known the hard times.,they have known the hard times.,दे हैव नोन द हार्द टाइम्स.
p227_238,train,William Hague delighted his party.,william hague delighted his party.,विलियम हेग डिलाइटेड हिज पार्टी.
p227_248,train,You will have seen the adverts.,you will have seen the adverts.,यू विल हैव सीन दि एडवर्ट्स.
p227_250,train,"Moreover, it must be for all sports.","moreover, it must be for all sports.","मोरोवर, इट मस्ट बी फॉर ऑल स्पोर्ट्स."
p227_255,train,"It might be sad, but it's a fact.","it might be sad, but it's a fact.","इट माइट बी सैड, बट इट्स अ फैक्ट."
p227_263,train,The calls were last night rejected by the US and the UK.,the calls were last night rejected by the us and the uk.,द कॉल्स वर लास्ट नाइट रिजेक्टेड बाई दि अस ऐंड द यूके.
p227_287,train,They can leave at any time.,they can leave at any time.,देइ कैन लीव ऐट ऐनी टाइम.
p227_290,train,It would create a Scottish secretary with a lot of weight.,it would create a scottish secretary with a lot of weight.,इट वुड क्रिएट अ स्कॉटिश सेक्रेटरी विथ अ लॉट अव वेट.
p227_295,train,It was never a free kick.,it was never a free kick.,इट वस नेवर अ फ्री किक.
p227_306,train,It is an amazing response.,it is an amazing response.,इट इस अन अमेज़िंग रिस्पांस.
p227_319,train,We have a clean bill of health.,we have a clean bill of health.,वी हैव अ क्लीन बिल अफ हेल्थ.
p227_323,train,"If you can run a computer, you can talk to the world.","if you can run a computer, you can talk to the world.","इफ यू कैन रन अ कंप्यूटर, यू कैन टॉक टू द वर्ल्ड."
p227_344,train,Public opinion was split on the proposal.,public opinion was split on the proposal.,पब्लिक अपिनियन वज़ स्प्लिट ऑन द प्रपोज़ल.
p227_345,train,The king is delighted by the honour.,the king is delighted by the honor.,द किंग इस डिलाइटेड बाय दि हनर.
p227_349,train,I came into this world with nothing.,i came into this world with nothing.,आई केम इंटू दिस वर्ल्ड विथ नथिंग.
p227_360,train,"He is not very big, either.","he is not very big, either.","ही इस नॉट वेरी बिग, ईथर."
p227_363,train,We are encouraged by the news.,we are encouraged by the news.,वी आर इनकरेज्ड बाई द न्यूज़.
p227_377,train,It was forced to divert.,it was forced to divert.,इट वज फोर्स्ट टू डाइवर्ट.
p227_382,train,This will impact on us.,this will impact on us.,दिस विल इम्पैक्ट ऑन अस.
p227_402,train,Persuaded to change his mind.,persuaded to change his mind.,पर्स्वीएडिड तू चेंज हिस माइंड.
p228_031,dev,He took me on a tour of the wards.,he took me on a tour of the wards.,ही तूक मी आन अ टूर अफ द वर्ड्स.
p228_038,train,President Bush is at war.,president bush is at war.,प्रेज़िडेंट बुश इस ऐट वार.
p228_059,train,"That is very hard, alone.","that is very hard, alone.","दैट इज़ वेरी हार्ड, अलोन."
p228_060,train,He will now seek to sell his shares in the club.,he will now seek to sell his shares in the club.,ही विल नाउ सीक टू सेल हिज़ शेयर्स इन द क्लब.
p228_085,train,But she might be.,but she might be.,बट शी माइट बी.
p228_104,train,He is hungry for success and I am the same.,he is hungry for success and i am the same.,ही इज़ हंग्री फॉर सक्सेस ऐंड आई ऐम द सेम.
p228_113,train,"For these people, the ruling is very welcome.","for these people, the ruling is very welcome.","फॉर दीज़ पीपल, द रूलिंग इस वेरी वेलकम."
p228_119,train,It's in his blood.,it's in his blood.,इट्स इन हिस ब्लड.
p228_122,train,"Naturally, it was not difficult to find support for these proposals.","naturally, it was not difficult to find support for these proposals.","नैचरली, इट वॉज नॉट डिफिकल्ट टू फाइंड सपोर्ट फॉर दीज प्रोपोज़ल्स."
p228_145,dev,Wallace was a prisoner of war.,wallace was a prisoner of war.,वालिस वस अ प्रिज़नर ऑव वॉर.
p228_146,train,"I think he's the favourite, no question.","i think he's the favorite, no question.","आई थिंक हीज़ द फेवरिट, नो क्वेश्चन."
p228_152,train,That could mean the difference between life and death in action.,that could mean the difference between life and death in action.,थैट कूड़ मीन द डिफरेंस बिट्वीन लाइफ एंड डेथ इन ऐक्शन.
p228_174,train,The post will be unpaid.,the post will be unpaid.,द पोस्ट विल बी अनपेड.
p228_186,train,We knew nothing about it.,we knew nothing about it.,वी न्यू नथिंग अबाउट इट.
p228_213,train,Yet she is still the woman behind the famous man.,yet she is still the woman behind the famous man.,येट शी इस स्टिल द वुमन बिहाइंड द फेमस मैन.
p228_215,test,"After that time, the market itself will set the prices.","after that time, the market itself will set the prices.","आफ्टर दॅट टाइम, द मार्केट इट्सेल्फ विल सेट द प्राइसिज़."
p228_224,train,He said that healthy eating was high on the council agenda.,he said that healthy eating was high on the council agenda.,ही सैड थैट हेलथी ईटिंग वस हाई ऑन द काउंसिल एगेंडा.
p228_244,train,"In short, the Scottish excess is not difficult to justify.","in short, the scottish excess is not difficult to justify.","इन शॉर्ट, द स्कॉटिश एक्सेस इज़ नॉट डिफिकल्ट टू जस्टिफाई."
p228_245,train,It is a policy which has the full support of the minister.,it is a policy which has the full support of the minister.,इट इस अ पालिसी विच हैज़ द फुल सपोर्ट अव द मिनिस्टर.
p228_249,train,He said he was impressed by the set-up at Celtic.,he said he was impressed by the set-up at celtic.,ही सेड ही वॉज़ इम्प्रेस्ड बाई द सेट-अप ऐट केल्टिक.
p228_253,train,"That was a bonus, but it was not the main objective.","that was a bonus, but it was not the main objective.","ठैट वस अ बोनस, बट इट वस नाट द मेन ऑब्जेक्टिव."
p228_298,train,It's certainly different.,it's certainly different.,इट्स सर्टनली डिफरेंट.
p228_300,train,We want to play at the worlds.,we want to play at the worlds.,वी वांट टू प्ले ऐट द वर्ल्ड्स.
p228_316,train,"Inside, the atmosphere was quiet.","inside, the atmosphere was quiet.","इनसाइड, दि एटमॉस्फियर वस क्वाइट."
p228_318,train,He was then replaced by Ross.,he was then replaced by ross.,ही वॉज़ धेन रीप्लेस्ट बाई रॉस.
p228_325,train,The same things will happen with GM foods.,the same things will happen with gm foods.,द सेम थिंग्ज़ विल हैपन विद जीएम फूड्स.
p228_354,train,He is very concerned about his fitness as a footballer.,he is very concerned about his fitness as a footballer.,ही इस वेरी कन्सर्न्ड अबाउट हिज़ फिटनेस ऐस अ फुटबॉलर.
p228_359,train,"We have to create a climate of trust, which is not easy.","we have to create a climate of trust, which is not easy.","वी हैव तू क्रिएट अ क्लाइमेट अव ट्रस्ट, विच इस नाट ईज़ी."
p229_017,train,Others have tried to explain the phenomenon physically.,others have tried to explain the phenomenon physically.,अदर्स हैव ट्राइड टू एक्स्प्लेन द फिनोमिनन फिजिकली.
p229_044,train,I was scared.,i was scared.,आई वाज स्केर्ड.
p229_047,train,But it is all by design.,but it is all by design.,बट इट इस ऑल बाय डिज़ाइन.
p229_065,train,It is like a river running by my home.,it is like a river running by my home.,इट इस लाइक अ रिवर रनिंग बाइ माय होम.
p229_067,train,That was the easy election.,that was the easy election.,थैट वस दि ईज़ी इलेक्शन.
p229_076,train,I've not thought about it.,i have not thought about it.,आई हैव नॉट थॉट अबाउट इट.
p229_093,train,"Well, the big day has arrived.","well, the big day has arrived.","वेल, द बिग डे हैज़ आराइव्ड."
p229_125,train,It is rubbish.,it is rubbish.,इट इज़ रबिश.
p229_127,train,It was my own fault and I lost a lot of belief.,it was my own fault and i lost a lot of belief.,इट वस माइ ओन फॉल्ट ऐंड आई लॉस्ट अ लॉट अव बेलीफ.
p229_131,train,There will be no shortage of quality applicants.,there will be no shortage of quality applicants.,धेर विल बी नो शॉर्टेज अव क्वालिटी ऐप्लिकेंट्स.
p229_142,train,What will happen then?,what will happen then,वट विल हैपन देन
p229_143,train,We never said that we would walk through the third division.,we never said that we would walk through the third division.,वी नेवर सेड थैट वी वुड वॉक थ्रू द थर्ड डिविज़न.
p229_167,train,"Inside, the atmosphere was quiet.","inside, the atmosphere was quiet.","इंसाइड, दि ऐट्मोस्फ़ियर वाज़ क्वाइट."
p229_171,train,A new season has offered a fresh start for both men.,a new season has offered a fresh start for both men.,अ न्यू सीज़न हैज़ ऑफर्ड अ फ्रेश स्टार्ट फॉर बोथ मेन.
p229_173,train,A Labour insider said it was far too close to call.,a labor insider said it was far too close to call.,अ लेबर इंसाइडर सेड इट वज फार टू क्लोस टू कॉल.
p229_205,train,Mr Kennedy is not a candidate for the Scottish Parliament.,mister kennedy is not a candidate for the scottish parliament.,मिस्टर केनेडी इज़ नॉट अ कैंडिडेट फॉर द स्कॉटिश पार्लियामेंट.
p229_221,train,She should not be blamed.,she should not be blamed.,शी शुड नाट बी ब्लेम्ड.
p229_232,train,Saturday is gone.,saturday is gone.,सटरडे इस गोन.
p229_242,train,The singer is expected to be in hospital for several days.,the singer is expected to be in hospital for several days.,द सिंगर इस एक्सपेक्टेड टू बी इन हॉस्पिटल फॉर सेवरल डेज.
p229_249,train,The letters are going out today.,the letters are going out today.,द लेटर्स आर गोइंग आउट टुडे.
p229_288,train,I felt like I was a child.,i felt like i was a child.,आई फेल्ट लाइक आई वस अ चाइल्ड.
p229_294,train,It shows a contempt by him for the industry.,it shows a contempt by him for the industry.,इट शोज़ अ कंटेम्प्ट बाय हिम फॉर दि इंडस्ट्री.
p229_304,train,The most important thing is to get a programme for government.,the most important thing is to get a program for government.,द मोस्ट इम्पोर्टन्ट थिंग इज टू गेट अ प्रोग्राम फॉर गवर्नमेंट.
p229_307,train,"In performance, that quality can prove to be a challenge.","in performance, that quality can prove to be a challenge.","इन परफॉर्मेंस, धैट क्वॉलिटी कैन प्रूव टू बी अ चैलेंज."
p229_312,dev,"However, he is a coach, and he remains a coach at heart.","however, he is a coach, and he remains a coach at heart.","हाउएवर, ही इस अ कोच, ऐंड ही रिमेन्स अ कोच ऐट हार्ट."
p229_313,train,Let's hope it's an investment in the future.,let us hope it's an investment in the future.,लेट अस होप इट्स अन इन्वेस्टमेंट इन द फ्यूचर.
p229_336,train,The team for the first game could be this one.,the team for the first game could be this one.,द तीम फर द फर्स्ट गेम कूड बी दिस वन.
p229_345,train,But the disease has not been confined to the Tory Party.,but the disease has not been confined to the tory party.,बट द डिजीज़ हैज़ नॉट बीन कॉन्फाइंड तू द टोरी पार्टी.
p229_348,train,Look at the witnesses.,look at the witnesses.,लुक अट द विट्नस.
p229_368,train,I am a star.,i am a star.,आई ऐम अ स्टार.
p229_380,train,Whether his stance is shared by the incoming manager is another matter.,whether his stance is shared by the incoming manager is another matter.,वेदर हिज स्टैंस इस शेयर्ड बाई दि इनकमिंग मैनेजर इस अनदर मैटर.
p230_001,train,Please call Stella.,please call stella.,प्लीज कॉल स्टेला.
p230_017,train,Others have tried to explain the phenomenon physically.,others have tried to explain the phenomenon physically.,अदर्स हैव ट्राइड टू एक्सप्लेन द फिनामिनन फिजिकली.
p230_026,train,Smoking is also very important.,smoking is also very important.,स्मोकिंग इस आल्सो वेरी इम्पोर्टेंट.
p230_031,train,I'm so happy that she did.,i am so happy that she did.,आई आम सो हैपी थैट शी डिड.
p230_049,train,We have to bring in new players.,we have to bring in new players.,वी हैव टू ब्रिंग इन न्यू प्लेयर्स.
p230_052,train,None has ever been found.,none has ever been found.,नन हैज़ एवर बिन फाउंड.
p230_057,train,You should consider whether you want to be in this film.,you should consider whether you want to be in this film.,यू शुड कन्सिडर वेदर यू वांट टू बी इन धिस फिल्म.
p230_062,train,Robin Williams is very subdued.,robin williams is very subdued.,रोबिन विलियम्स इस वेरी सबडूद.
p230_065,train,Both sides have been hit by injury.,both sides have been hit by injury.,बोथ साइड्स हैव बीन हिट बाई इंजरी.
p230_076,train,Consumer confidence remains an issue.,consumer confidence remains an issue.,कंस्यूमर कॉन्फिडेंस रिमेंस आन इश्यू.
p230_080,train,It's so hard to shift.,it's so hard to shift.,इट्स सो हार्ड टू शिफ्ट.
p230_087,train,It was not an insult.,it was not an insult.,इट वस नाॅट अन इंसल्ट.
p230_097,train,Two of the team became ill.,two of the team became ill.,टू अफ द टीम बिकेम इल.
p230_118,train,"It is too pretty, it is too small.","it is too pretty, it is too small.","इट इस टू प्रिटी, इट इस टू स्मॉल."
p230_127,train,The opposite is the case.,the opposite is the case.,दि अपोजिट इज द केस.
p230_146,train,It was by the numbers.,it was by the numbers.,इट वस बाई द नंबर्स.
p230_150,train,This might seem like an outrageous assertion.,this might seem like an outrageous assertion.,दिस माइट सीम लाइक अन औट्रेजस असर्शन.
p230_155,train,It could take years for the tunnel to be reopened.,it could take years for the tunnel to be reopened.,इट कुद टेक यिअर्स फॉर द टनल टू बी रीओपेन्ड.
p230_164,train,Our position remains the same.,our position remains the same.,और पोज़िशन रिमेन्स द सेम.
p230_165,train,Nobody did in those days.,nobody did in those days.,नोबडी डिड इन दोज डेज.
p230_177,train,"At the top level, the salaries are far too high.","at the top level, the salaries are far too high.","एट द टॉप लेवल, द सैलरीज़ आर फार टू हाई."
p230_196,train,Neither side would reveal the details of the offer.,neither side would reveal the details of the offer.,नाइदर साइड वुड रिवील द डिटेल्स ऑफ दि ऑफर.
p230_208,train,This will take several weeks.,this will take several weeks.,दिस विल टेक सेव्रल वीक्स.
p230_210,train,We have an election in eight days.,we have an election in eight days.,वी हैव अन इलेक्शन इन एइट डेज.
p230_234,train,"So far, the problems have occurred in the US.","so far, the problems have occurred in the us.","सो फार, द प्रॉब्लम्स हैव अकर्ड इन दि अस."
p230_239,train,No evidence that it was Osama bin Laden.,no evidence that it was osama bin laden.,नो एविडेंस धैट इट वस ओसामा बिन लेडन.
p230_244,train,Here is a question for you.,here is a question for you.,हिर इज़ अ क्वेस्चन फॉर यू.
p230_247,train,Hospitals are for the ill.,hospitals are for the ill.,हॉस्पिटल्स आर फॉर दि इल.
p230_255,train,Kingfisher can afford to wait.,kingfisher can afford to wait.,किंगफिशर कैन अफर्ड टू वेट.
p230_265,train,"In the meantime, the fans would settle for a derby win.","in the meantime, the fans would settle for a derby win.","इन द मीनटाइम, द फैंस वुड सेटल फॉर अ डर्बी विन."
p230_277,train,It is also very valuable.,it is also very valuable.,इट इस आल्सो वेरी वैल्यूएबल.
p230_297,train,The cause of the accident remained unclear.,the cause of the accident remained unclear.,द कॉज़ अव दि ऐक्सिडेंट रिमेंड अनक्लियर.
p230_305,train,You have to see it like this.,you have to see it like this.,यू हैव टू सी इट लाइक दिस.
p230_317,train,"If you can run a computer, you can talk to the world.","if you can run a computer, you can talk to the world.","इफ यू कैन रन अ कम्प्यूटर, यू कैन टॉक टू द वर्ल्ड."
p230_348,train,There was no time scale.,there was no time scale.,धेर वज़ नो टाइम स्केल.
p230_349,train,"Last night, he pledged to clear his name.","last night, he pledged to clear his name.","लास्ट नाइट, ही प्लेज्ड टू क्लियर हिज नेम."
p230_356,train,"In addition, certain areas closed at certain times.","in addition, certain areas closed at certain times.","इन अडिशन, सर्टन एरियस क्लोज्ड ऐट सर्टन टाइम्स."
p230_362,train,I am a lucky man.,i am a lucky man.,आई ऐम अ लकी मैन.
p230_364,train,We put our bid in last night.,we put our bid in last night.,वी पट और बिड इन लास्ट नाइट.
p230_376,train,This hasn't happened in a vacuum.,this has not happened in a vacuum.,दिस हैज़ नाट हैपन्ड इन अ वैक्यूम.
p230_377,train,Both of those promises have already been honoured.,both of those promises have already been honored.,बोथ अफ दोज़ प्रमिसेस हैव ऑल्रेडी बीन हानर्ड.
p230_379,train,We will win the argument.,we will win the argument.,वी विल विन दि आर्ग्यूमेंट.
p230_385,train,If you can get it.,if you can get it.,इफ यू कैन गेट इट.
p230_391,train,This big issue is whether it can be enforced.,this big issue is whether it can be enforced.,दिस बिग इशु इस वेदर इट कैन बी एनफोर्स्ट.
p230_405,train,"It was a bank holiday, after all.","it was a bank holiday, after all.","इट वॉज़ अ बैंक हॉलिडे, आफ्टर ऑल."
p231_001,train,Please call Stella.,please call stella.,प्लीज कॉल स्टेला.
p231_010,train,"People look, but no one ever finds it.","people look, but no one ever finds it.","पीपल लुक, बट नो वन एवर फाइंड्स इट."
p231_047,train,A win is a win.,a win is a win.,अ विन इस अ विन.
p231_057,train,Four other charges were dropped.,four other charges were dropped.,फोर अदर चार्जिस वर ड्राप्ट.
p231_066,train,We will pay their bills.,we will pay their bills.,वी विल पे देर बिल्स.
p231_068,dev,He becomes the new Minister for Sport and Culture.,he becomes the new minister for sport and culture.,ही बीकम्स द न्यू मिनिस्टर फॉर स्पोर्ट एंड कल्चर.
p231_074,train,Both men were on one-year contracts.,both men were on one-year contracts.,बोथ मेन वर आन वन-ईयर कॉन्ट्रैक्ट्स.
p231_080,train,"Here, too, the Post Office has missed the boat.","here, too, the post office has missed the boat.","हीर, टू, द पोस्ट ऑफिस हैज़ मिस्ट द बोट."
p231_092,train,Their attitude is all wrong.,their attitude is all wrong.,थेर ऐटिट्यूड इस आल रॉंग.
p231_099,train,Two of the team became ill.,two of the team became ill.,टू अफ द टीम बिकेम इल.
p231_109,train,We needed financial backing to get it off the ground.,we needed financial backing to get it off the ground.,वी नीडेड फिनैन्शल बैकिंग टू गेट इट ऑफ द ग्राउंड.
p231_115,train,January is a bad time of year.,january is a bad time of year.,जनवरी इस अ बैड टाइम अव यीअर.
p231_129,train,"If not, a deal could take many months.","if not, a deal could take many months.","इफ नॉट, अ डील कुड टेक मेनी मंथ्स."
p231_136,train,He is a great addition to our team.,he is a great addition to our team.,ही इज़ अ ग्रेट ऐडिशन टू आवर टीम.
p231_137,train,This is a successful outcome.,this is a successful outcome.,दिस इस अ सक्सेसफुल आउटकम.
p231_152,train,The point is raised again that evening at the Assembly Rooms.,the point is raised again that evening at the assembly rooms.,द पॉइंट इस रेज्ड अगेन धैट ईवनिंग ऐट दि असेम्बली रूम्स.
p231_163,dev,What do we want to do that for?,what do we want to do that for,वॉट डू वी वांट टू डू धैट फॉर
p231_171,train,"To get good people, you need to offer them enough money.","to get good people, you need to offer them enough money.","तू गेट गुड पीपल, यू नीड तू ऑफर देम इनअफ मनी."
p231_176,train,This much I can tell you.,this much i can tell you.,दिस मच आई कैन टेल यू.
p231_190,train,I'm interested in interesting work.,i am interested in interesting work.,आई ऐम इंटरेस्टेड इन इंटरेस्टिंग वर्क.
p231_198,train,It was a moment of madness.,it was a moment of madness.,इट वस अ मोमेंट अव मैडनेस.
p231_214,train,He also presented You Bet!,he also presented you bet,ही ऑलसो प्रिजेंटेड यू बेट
p231_230,train,They are the innocent victims.,they are the innocent victims.,दे आर दि इनसेंट विक्टिम्स.
p231_247,train,Persuaded to change his mind.,persuaded to change his mind.,पर्सवेडेड टू चेंज हिज माइंड.
p231_250,train,The baby deserves the credit.,the baby deserves the credit.,द बेबी डिज़र्व्स द क्रेडिट.
p231_267,train,Did he trip?,did he trip,डिड ही ट्रिप
p231_272,train,This news came after the stock market closed on Monday.,this news came after the stock market closed on monday.,दिस न्यूज़ कैम अफ्टर द स्टॉक मार्केट क्लोज़्ड ऑन मंडे.
